Hari,Pengeluaran,Pendapatan,Diskon,Jumlah Bersih,Baik/Buruk
2,40000,467000,4000,423000,1
3,20000,432000,500,411500,1
4,20000,434000,0,414000,1
5,0,505000,0,505000,1
6,50000,373000,0,323000,0
7,32000,411000,0,379000,1
1,86000,430000,0,344000,0
2,44500,375000,0,330500,0
3,26500,330000,0,303500,0
4,12000,285000,0,273000,0
5,32500,430000,0,397500,1
6,22500,382000,0,359500,1
7,13000,510000,0,497000,1
1,56500,463000,6000,400500,1
2,0,302000,0,302000,0
3,15000,429000,0,414000,1
4,50000,427000,0,377000,1
5,20000,377000,0,357000,1
6,13000,414000,0,401000,1
7,35000,482000,0,447000,1
1,19500,499000,0,479500,1
2,12000,412000,2000,398000,1
3,33000,352000,0,319000,0
4,0,300000,0,300000,0
5,9500,279000,6000,263500,0
6,22000,374000,5000,347000,0
7,5000,332000,0,327000,0
1,55000,355000,8000,292000,0
2,13000,310000,0,297000,0
3,10000,278000,0,268000,0
4,144000,252000,9000,99000,0
5,23000,445000,0,422000,1
6,0,511000,20000,491000,1
7,7000,313000,96000,210000,0
1,34000,563000,1000,528000,1
2,71000,338000,22200,244800,0
3,24000,377000,19000,334000,0
4,52000,349000,0,297000,0
5,15000,512000,0,497000,1
6,10000,415000,0,405000,1
7,83000,486000,0,403000,1
1,17000,488000,4000,467000,1
2,15000,442000,0,427000,1
3,10000,371000,0,361000,1
4,38000,441000,0,403000,1
5,10000,498000,0,488000,1
6,0,496000,0,496000,1
7,19000,334000,0,315000,0
1,0,404000,0,404000,1
2,0,416000,0,416000,1
3,50000,372000,6000,316000,0
4,20000,516000,0,496000,1
5,45000,317000,0,272000,0
6,30000,427000,180000,217000,0
7,2000,427000,0,425000,1
1,47500,390000,0,342500,0
2,20000,466000,16000,430000,1
3,33500,507000,0,473500,1
4,20000,370000,0,350000,1
5,15000,378000,0,363000,1
6,0,365000,0,365000,1
